"GEBIED_NAAM","18_en_ouder","18_tot_65","65_en_ouder"
"Postjeskade e.o.",53.3,52.3,60.1
"Prinses Irenebuurt",48.2,48.6,47.4
"RAI",NA,NA,NA
"RI Oost terrein",59.7,60,54.8
"Ransdorp",40.6,37.8,46.3
"Rapenburg",59.4,60.1,54.5
"Rechte H-buurt",73.4,74.2,68.3
"Reguliersbuurt",62.9,62.8,NA
"Reigersbos Midden",65.2,66.9,59.9
"Reigersbos Noord",70.2,71.3,65.1
"Reigersbos Zuid",58.9,60.9,53.7
"Rembrandtpark Noord",55.1,54.7,59.6
"Rembrandtpark Zuid",55.9,55.9,55.7
"Rembrandtpleinbuurt",68.2,69,56
"Riekerhaven",71.5,71.5,NA
"Riekerpolder",57.5,57.6,NA
"Rieteiland Oost",35.9,35.8,NA
"Rietlanden",54,53.8,55.1
"Rijnbuurt Midden",51.3,50,58.5
"Rijnbuurt Oost",51.4,50,60.4
"Rijnbuurt West",65.1,65.1,65
"Robert Scottbuurt Oost",57.1,56,65.7
"Robert Scottbuurt West",63.8,63.2,67.9
"Rode Kruisbuurt",46.3,46.4,46
"Sarphatiparkbuurt",57.1,56.4,62.5
"Sarphatistrook",55.7,55.7,55.4
"Scheepvaarthuisbuurt",49.8,50.1,48.4
"Scheldebuurt Midden",48.7,47.4,54.7
"Scheldebuurt Oost",49.6,49,53
"Scheldebuurt West",50.9,49.7,56.1
"Schellingwoude Noord",NA,NA,NA
"Schellingwoude Oost",41.7,39.9,47.1
"Schellingwoude West",44.9,43.3,49.5
"Schinkelbuurt Noord",55.4,54.9,59.8
"Schinkelbuurt Zuid",59.1,58.5,62
"Schipluidenbuurt",65,65,63
"Science Park Noord",62.6,63,44.2
"Science Park Zuid",74.2,74.7,NA
"Sloterdijk II",77.2,77.2,NA
"Sloterdijk III Oost",NA,NA,NA
"Sloterdijk III West",69.3,69.5,NA
"Slotermeer Zuid",68.6,68.9,67.2
"Sloterpark",62.5,62.5,NA
"Sloterweg e.o.",49,50.5,44.6
"Spaarndammerbuurt Midden",58.7,58.1,64.7
"Spaarndammerbuurt Noordoost",61.4,61.4,61.6
"Spaarndammerbuurt Noordwest",60.3,59.8,63.6
"Spaarndammerbuurt Zuidoost",59,58.7,59.9
"Spaarndammerbuurt Zuidwest",58.6,57,65.9
"Spiegelbuurt",54.3,55.4,47.8
"Sporenburg",46.1,46.1,46
"Sportpark Middenmeer Noord",77.5,77.7,NA
"Sportpark Middenmeer Zuid",51.2,46.2,55.5
"Sportpark Voorland",NA,NA,NA
"Spuistraat Noord",59.9,60.7,51.9
"Spuistraat Zuid",60,59.9,60.7
"Staalmanbuurt",63.3,62.9,65.6
"Staatsliedenbuurt Noordoost",62.4,61.8,63.8
"Stationsplein e.o.",NA,NA,NA
"Steigereiland Noord",56.5,56.7,53.5
"Steigereiland Zuid",52.4,52.2,54.4
"Strandeiland",NA,NA,NA
"Surinamepleinbuurt",50.8,50.2,54.2
"Swammerdambuurt",51.1,50.7,54.6
"Teleport",74.6,74.7,NA
"Terrasdorp",62.1,62.4,61
"Transvaalbuurt Oost",58.7,57.7,65
"Transvaalbuurt West",60.2,58.9,66.8
"Trompbuurt",52.4,51.3,61
"Tuindorp Amstelstation",67,68.5,63.8
"Tuindorp Frankendael",59.1,59.2,58.8
"Tuindorp Nieuwendam Oost",57.1,56.3,59.4
"Tuindorp Nieuwendam West",55.8,55.6,56.2
"Tuindorp Oostzaan Oost",56.8,56.6,57.7
"Tuindorp Oostzaan West",57.4,57.1,57.9
"Twiske Oost",51.7,51.4,52.4
"Twiske West",49,49,49.1
"Uilenburg",58.6,59,56.9
"Utrechtsebuurt Zuid",53.1,53.2,53
"VU-kwartier",74.3,75.9,NA
"Valeriusbuurt Oost",48.4,49,45.8
"Valeriusbuurt West",50.7,50.9,50.2
"Valkenburg",56.8,56.6,57.2
"Van Brakelkwartier",61.3,60.6,65.5
"Van Loonbuurt",50.1,50.5,48.5
"Van Tuyllbuurt",52.8,51.8,58.5
"Van der Helstpleinbuurt",56.6,56.2,60.5
"Van der Kunbuurt",67.9,68.1,67.3
"Van der Pekbuurt",65.9,66,65.7
"Veluwebuurt",56.2,54.7,61.6
"Venserpolder Oost",68.5,68.7,66.8
"Venserpolder West",70.3,70.7,68.2
"Vervoerscentrum",NA,NA,NA
"Vivaldi",67.3,67.5,58.8
"Vliegenbos",42.9,43.3,40.1
"Vogelbuurt Noord",61.4,60.5,66.4
"Vogelbuurt Zuid",64.3,64.2,64.5
"Vogeltjeswei",61,60.9,61.6
"Vondelpark Oost",NA,NA,NA
"Vondelpark West",NA,NA,NA
"Vondelparkbuurt Midden",53.8,53.7,54.1
"Vondelparkbuurt Oost",56.1,58.3,45.8
"Vondelparkbuurt West",52.2,51.4,56
"WG-terrein",55.5,55.1,56.7
"Walvisbuurt",52.7,52.6,53.2
"Waterloopleinbuurt",57,56.8,57.7
"Weesperbuurt",55.3,55.2,55.9
"Weespertrekvaart",52.7,53,44.1
"Weesperzijde Midden/Zuid",52.5,52.1,55.2
"Werengouw Midden",66,66.7,62.5
"Werengouw Zuid",61.5,63.1,54.6
"Westelijke eilanden",55.6,56.2,53.8
"Westerdokseiland",53.7,54.5,51.4
"Westergasfabriek",NA,NA,NA
"Westerstaatsman",58.5,58,66.1
"Westhaven Noord",55.9,54.1,NA
"Westhaven Zuid",NA,NA,NA
"Westlandgrachtbuurt",53.1,52.2,59.5
"Weteringbuurt",53.5,53.8,51.4
"Wielingenbuurt",48,47.3,50.9
"Wildeman",69.5,70.8,65.4
"Willemsparkbuurt Noord",48.2,48.5,46.6
"Willibrordusbuurt",58.9,58,62.9
"Wittenburg",59.1,59,59.4
"Woon- en Groengebied Sloterdijk",50.3,50.4,49.1
"Zaagpoortbuurt",64.3,64.4,63.7
"Zamenhofstraat e.o.",NA,NA,NA
"Zeeburgerdijk Oost",52.7,52.8,52.1
"Zeeburgereiland Noordoost",53.6,51.2,NA
"Zeeburgereiland Noordwest",42.1,45.6,NA
"Zeeburgereiland Zuidoost",69.1,69.2,NA
"Zeeburgereiland Zuidwest",57.4,57,NA
"Zeeheldenbuurt",59.3,59.2,59.7
"Zorgvlied",46.8,42.2,NA
"Zuidas Noord",58.5,59.2,46.1
"Zuidas Zuid",60.5,61.4,45.4
"Zuiderhof",80.6,80.6,NA
"Zuiderkerkbuurt",57.3,56.7,59.1
"Zuidoostkwadrant Indische buurt",61.9,61.3,65.4
"Zuidwestkwadrant Indische buurt",64.6,63.6,68.7
"Zuidwestkwadrant Osdorp Noord",66.5,66.8,65
"Zuidwestkwadrant Osdorp Zuid",64,64.4,60.7
"Zunderdorp",42.5,39.5,49.8
"Zwarte Gouw",NA,NA,NA
"de Plantage",51.4,51.3,51.7
