"GEBIED_NAAM","18_en_ouder","18_tot_65","65_en_ouder"
"Noordoostkwadrant Indische buurt",36.7,37.7,33.3
"Noordwestkwadrant Indische buurt Noord",34.9,35.3,31.4
"Noordwestkwadrant Indische buurt Zuid",36.7,36.8,36.1
"Olympisch Stadion e.o.",27.1,28.4,21.9
"Ookmeer",NA,NA,NA
"Oostelijke Handelskade",27.8,29,16.8
"Oostenburg",32.2,33.5,23.3
"Oosterdokseiland",28,30.2,12.6
"Oosterpark",39.1,40.7,25.9
"Oosterparkbuurt Noordwest",33.5,34.4,28.6
"Oosterparkbuurt Zuidoost",30.5,31.5,25.1
"Oosterparkbuurt Zuidwest",35.8,36.5,31.7
"Oostoever Sloterplas",23.6,24.9,20.5
"Oostpoort",29.6,31.3,23.6
"Oostzanerdijk",20,21.2,15.1
"Orteliusbuurt Midden",33.1,33.6,28.9
"Orteliusbuurt Noord",34.6,35.8,27.9
"Orteliusbuurt Zuid",32.4,33.2,26.8
"Osdorp Midden Noord",41.3,43.5,32
"Osdorp Midden Zuid",39.3,40.5,32.9
"Osdorp Zuidoost",31.2,34.3,22.3
"Osdorper Binnenpolder",19.2,22.3,NA
"Osdorper Bovenpolder",20.9,24.1,12.3
"Osdorpplein e.o.",36.4,37.8,27.1
"Oude Kerk e.o.",33.6,35,21.9
"Overamstel",14.3,14.9,NA
"Overbraker Binnenpolder",NA,NA,NA
"Overhoeks",27.7,29.8,12.1
"Overtoomse Veld Noord",38.8,38.2,42.4
"Overtoomse Veld Zuid",35.8,36.2,32.3
"P.C. Hooftbuurt",25,27.8,14
"Papaverweg e.o.",23,24,11.2
"Paramariboplein e.o.",30.1,30.6,25.6
"Park Haagseweg",18.2,21,10.5
"Park de Meer",23.4,25.8,16.2
"Parooldriehoek",41.4,41.4,NA
"Passeerdersgrachtbuurt",29.8,32.8,18.9
"Petroleumhaven",NA,NA,NA
"Pieter van der Doesbuurt",34.5,35.4,27
"Plan van Gool",35.2,37.8,22.1
"Planciusbuurt Noord",33.8,35.6,20.7
"Planciusbuurt Zuid",35.7,38.2,25.3
"Postjeskade e.o.",30.1,31,24.1
"Prinses Irenebuurt",19.7,22.7,12.5
"RAI",NA,NA,NA
"RI Oost terrein",30,30.8,17.2
"Ransdorp",14.5,15.8,12
"Rapenburg",30.4,32.3,18.3
"Rechte H-buurt",39.2,40.6,31.2
"Reguliersbuurt",35.4,35.7,NA
"Reigersbos Midden",31.9,34.8,22.9
"Reigersbos Noord",36.8,38.5,28.4
"Reigersbos Zuid",27.7,31.2,18.4
"Rembrandtpark Noord",33.3,34.5,18.7
"Rembrandtpark Zuid",27.7,28.9,16.9
"Rembrandtpleinbuurt",33.2,34.2,17.7
"Riekerhaven",46.2,46.2,NA
"Riekerpolder",29.7,29.8,NA
"Rieteiland Oost",13.9,14.1,NA
"Rietlanden",26.8,28.1,19.6
"Rijnbuurt Midden",28.7,29.7,23
"Rijnbuurt Oost",28.8,29.7,23.2
"Rijnbuurt West",36.1,39.2,27.3
"Robert Scottbuurt Oost",34.6,34.8,32.9
"Robert Scottbuurt West",38.9,39.7,34
"Rode Kruisbuurt",16.9,21,10.9
"Sarphatiparkbuurt",32.2,33,24.9
"Sarphatistrook",29.3,30.8,19
"Scheepvaarthuisbuurt",26.6,29,14.2
"Scheldebuurt Midden",25,26.2,19.6
"Scheldebuurt Oost",26.9,28.6,17.6
"Scheldebuurt West",26.8,28.1,20.6
"Schellingwoude Noord",NA,NA,NA
"Schellingwoude Oost",16,17.5,11.2
"Schellingwoude West",13.6,15.7,7.9
"Schinkelbuurt Noord",31.2,32.3,22.3
"Schinkelbuurt Zuid",32.9,34.9,24.1
"Schipluidenbuurt",37.1,37.4,18
"Science Park Noord",35.8,36.5,10.8
"Science Park Zuid",45.3,46.1,NA
"Sloterdijk II",34.5,34.5,NA
"Sloterdijk III Oost",NA,NA,NA
"Sloterdijk III West",41.3,42.3,NA
"Slotermeer Zuid",41,43.1,30.3
"Sloterpark",35.9,35.9,NA
"Sloterweg e.o.",19.4,22.4,10.7
"Spaarndammerbuurt Midden",33.3,33.9,26.8
"Spaarndammerbuurt Noordoost",34.3,36,26.2
"Spaarndammerbuurt Noordwest",33.9,34.9,27
"Spaarndammerbuurt Zuidoost",31.3,33,23.6
"Spaarndammerbuurt Zuidwest",32,32.8,28.3
"Spiegelbuurt",26.6,28.7,14.1
"Sporenburg",21.9,22.8,14.2
"Sportpark Middenmeer Noord",50.1,50.2,NA
"Sportpark Middenmeer Zuid",19.4,21.1,18
"Sportpark Voorland",NA,NA,NA
"Spuistraat Noord",32.8,34.6,14.2
"Spuistraat Zuid",34.7,36.4,21.2
"Staalmanbuurt",37.7,38.7,32
"Staatsliedenbuurt Noordoost",33.2,35.7,27.3
"Stationsplein e.o.",NA,NA,NA
"Steigereiland Noord",28.2,28.8,15.4
"Steigereiland Zuid",24.7,25,21.7
"Strandeiland",NA,NA,NA
"Surinamepleinbuurt",27.4,29,18.9
"Swammerdambuurt",27.2,28.2,18.4
"Teleport",41.4,41.6,NA
"Terrasdorp",32,34.7,23.6
"Transvaalbuurt Oost",34.7,35.2,31.6
"Transvaalbuurt West",35.8,35.8,35.8
"Trompbuurt",30.2,30.7,26.2
"Tuindorp Amstelstation",38.6,43.2,28.4
"Tuindorp Frankendael",31,33.5,22.7
"Tuindorp Nieuwendam Oost",28.7,31.3,21.6
"Tuindorp Nieuwendam West",27.3,30.5,21.3
"Tuindorp Oostzaan Oost",28.7,31.1,21.6
